Line,Filter,County,Jurisdiction,2010 Population Census ,2011 Population Estimate ,2012 Population Estimate ,2013 Population Estimate ,2014 Population Estimate ,2015 Population Estimate ,2016 Population Estimate ,2017 Population Estimate ,2018 Population Estimate 
94,4,Garfield,Pomeroy,1425,1415,1410,1400,1395,1405,1395,1395,1395
97,2,Grant,Unincorporated Grant County,40134,40395,40790,40956,41470,41840,42130,42422,42765
99,4,Grant,Coulee City,562,565,560,570,565,560,560,565,570
101,4,Grant,Electric City,968,1065,995,1010,1010,1010,1010,1020,1030
102,4,Grant,Ephrata,7664,7690,7750,7870,7930,7985,8020,8005,8130
103,4,Grant,George,501,690,700,720,720,720,720,720,720
104,4,Grant,Grand Coulee,988,1020,1035,1045,1050,1050,1045,1055,1055
105,4,Grant,Hartline,151,150,150,155,155,160,155,155,155
106,4,Grant,Krupp,48,50,50,50,50,50,50,50,50
107,4,Grant,Mattawa,4437,4460,4495,4540,4460,4535,4625,4805,4900
108,4,Grant,Moses Lake,20366,20640,20950,21250,21600,22080,22250,22720,23660
109,4,Grant,Quincy,6750,6815,6945,7000,7235,7270,7345,7370,7510
110,4,Grant,Royal City,2140,2150,2160,2190,2210,2235,2240,2245,2275
111,4,Grant,Soap Lake,1514,1515,1520,1530,1530,1520,1535,1550,1575
112,4,Grant,Warden,2692,2690,2695,2705,2710,2710,2720,2730,2745
113,4,Grant,Wilson Creek,205,205,205,209,205,205,205,218,210
116,2,Grays Harbor,Unincorporated Grays Harbor County,28438,28555,28610,28615,28635,28475,28110,28190,28320
118,4,Grays Harbor,Aberdeen,16896,16870,16890,16860,16850,16780,16780,16740,16760
119,4,Grays Harbor,Cosmopolis,1649,1645,1640,1650,1645,1640,1650,1660,1665
120,4,Grays Harbor,Elma,3107,3115,3110,3115,3130,3135,3145,3145,3360
121,4,Grays Harbor,Hoquiam,8726,8650,8655,8620,8625,8575,8580,8560,8560
122,4,Grays Harbor,McCleary,1653,1655,1655,1655,1660,1680,1685,1695,1760
123,4,Grays Harbor,Montesano,3976,4010,4050,4070,4075,4095,4105,4120,4155
124,4,Grays Harbor,Oakville,684,685,690,690,690,685,695,690,690
125,4,Grays Harbor,Ocean Shores,5569,5615,5745,5815,5880,5935,5955,6055,6220
126,4,Grays Harbor,Westport,2099,2100,2105,2110,2110,2110,2115,2115,2120
129,2,Island,Unincorporated Island County,53565,53700,54215,54665,55090,55600,57460,56880,58000
131,4,Island,Coupeville,1831,1855,1880,1890,1895,1900,1905,1905,1905
132,4,Island,Langley,1035,1045,1055,1065,1075,1100,1135,1165,1175
133,4,Island,Oak Harbor,22075,22200,22200,22080,21940,22000,22410,22840,22780
136,2,Jefferson,Unincorporated Jefferson County,20759,20870,20990,21050,21345,21500,21605,21860,22045
138,4,Jefferson,Port Townsend,9113,9180,9185,9225,9355,9380,9485,9500,9545
141,2,King,Unincorporated King County,325000,285265,255720,253100,252050,253280,245920,247060,247240
143,4,King,Algona,3014,3055,3070,3075,3090,3105,3175,3180,3180
144,4,King,Auburn (part),62761,63050,63390,64320,65350,65950,67340,69060,70650
145,4,King,Beaux Arts Village,299,300,300,290,295,300,300,300,300
146,4,King,Bellevue,122363,123400,124600,132100,134400,135000,139400,140700,142400
147,4,King,Black Diamond,4153,4160,4170,4170,4180,4200,4305,4335,4360
148,4,King,Bothell (part),17090,17150,17280,17440,24610,25410,26590,26860,27440
149,4,King,Burien,33313,47660,47730,48030,48240,48810,50000,50680,51850
150,4,King,Carnation,1786,1780,1785,1785,1790,1790,1850,2030,2155
151,4,King,Clyde Hill,2984,2985,2980,2980,2995,3020,3060,3015,3045
152,4,King,Covington,17575,17640,17760,18100,18480,18520,18750,19850,20080
153,4,King,Des Moines,29673,29680,29700,29730,30030,30100,30570,30860,31140
154,4,King,Duvall,6695,6715,6900,7120,7325,7345,7425,7500,7655
155,4,King,Enumclaw (part),10669,10920,11030,11100,11110,11140,11410,11450,11660
156,4,King,Federal Way,89306,89370,89460,89720,90150,90760,93670,96350,97440
157,4,King,Hunts Point,394,390,390,395,405,410,415,415,420
158,4,King,Issaquah,30434,30690,31150,32130,32880,33330,34590,36030,37110
159,4,King,Kenmore,20460,20780,21020,21170,21370,21500,22320,22580,22920
160,4,King,Kent,92411,118200,119100,120500,121400,122900,124500,127100,128900
161,4,King,Kirkland,48787,49020,81480,81730,82590,83460,84680,86080,87240
162,4,King,Lake Forest Park,12598,12610,12640,12680,12750,12810,12940,12990,13090
163,4,King,Maple Valley,22684,22930,23340,23910,24230,24700,24790,24900,25280
164,4,King,Medina,2969,2970,2990,3000,3055,3095,3165,3205,3245
165,4,King,Mercer Island,22699,22710,22690,22720,23310,23480,23660,24210,24270
166,4,King,Milton (part),831,835,835,840,915,1010,1070,1195,1195
167,4,King,Newcastle,10380,10410,10460,10640,10850,10940,11090,11280,12410
168,4,King,Normandy Park,6335,6345,6350,6350,6375,6420,6540,6595,6595
169,4,King,North Bend,5731,5830,5855,6020,6280,6460,6570,6605,6825
170,4,King,Pacific (part),6514,6520,6535,6675,6750,6770,6835,6855,6875
171,4,King,Redmond,54144,55150,55360,55840,57700,59180,60560,62110,64050
172,4,King,Renton,90927,92590,93910,95540,97130,98470,101300,102700,104100
173,4,King,Sammamish,45780,46940,47420,48060,49260,49980,61250,62240,63470
174,4,King,SeaTac,26909,27110,27210,27310,27620,27650,27810,28850,29130
175,4,King,Seattle,608660,612100,616500,626600,640500,662400,686800,713700,730400
176,4,King,Shoreline,53007,53200,53270,53670,53990,54500,54990,55060,55730
177,4,King,Skykomish,198,195,200,195,200,195,200,200,205
178,4,King,Snoqualmie,10670,10950,11320,11700,12130,12850,13110,13210,13450
179,4,King,Tukwila,19107,19050,19080,19160,19210,19300,19540,19660,19800
180,4,King,Woodinville,10938,10940,10960,10990,11240,11240,11570,11660,11830
181,4,King,Yarrow Point,1001,1005,1060,1015,1015,1020,1040,1040,1065
184,2,Kitsap,Unincorporated Kitsap County,170022,171395,170620,170505,171435,171940,174310,175220,176290
186,4,Kitsap,Bainbridge Island,23025,23030,23090,23190,23360,23390,23760,23950,24320
187,4,Kitsap,Bremerton,37729,38790,39650,37850,38180,39410,40500,40630,41500
188,4,Kitsap,Port Orchard,11157,11440,11780,12870,13150,13510,13810,13990,14160
189,4,Kitsap,Poulsbo,9200,9245,9360,9585,9775,9950,10210,10510,10850
192,2,Kittitas,Unincorporated Kittitas County,18063,18315,18440,18785,18890,19120,19650,20385,21120
194,4,Kittitas,Cle Elum,1872,1875,1865,1870,1870,1865,1870,1875,1875
195,4,Kittitas,Ellensburg,18174,18250,18320,18370,18440,18810,19310,19550,19660
196,4,Kittitas,Kittitas,1381,1430,1450,1450,1475,1455,1460,1500,1515
197,4,Kittitas,Roslyn,893,895,895,895,895,890,890,890,900
198,4,Kittitas,South Cle Elum,532,535,530,530,530,530,530,530,530
201,2,Klickitat,Unincorporated Klickitat County,13975,14120,14190,14290,14385,14420,14660,14955,15210
203,4,Klickitat,Bingen,712,720,730,725,730,735,735,735,735
204,4,Klickitat,Goldendale,3407,3425,3425,3410,3420,3425,3435,3490,3530
205,4,Klickitat,White Salmon,2224,2235,2255,2275,2315,2420,2440,2480,2505
208,2,Lewis,Unincorporated Lewis County,44892,45260,45285,45270,45280,45475,45560,45910,46660
210,4,Lewis,Centralia,16336,16440,16670,16600,16640,16790,16820,16940,17060
211,4,Lewis,Chehalis,7259,7310,7345,7355,7370,7365,7460,7500,7515
212,4,Lewis,Morton,1126,1125,1125,1120,1120,1125,1120,1120,1125
213,4,Lewis,Mossyrock,759,760,760,755,765,750,745,760,760
214,4,Lewis,Napavine,1766,1780,1790,1795,1815,1835,1870,1900,1940
215,4,Lewis,Pe Ell,632,635,635,630,630,640,640,645,650
216,4,Lewis,Toledo,725,725,725,720,725,725,720,720,720
217,4,Lewis,Vader,621,625,625,620,620,615,615,610,610
218,4,Lewis,Winlock,1339,1340,1340,1335,1335,1340,1340,1335,1340
221,2,Lincoln,Unincorporated Lincoln County,5081,5110,5185,5230,5305,5305,5240,5280,5370
223,4,Lincoln,Almira,284,285,285,285,280,280,275,275,275
224,4,Lincoln,Creston,236,235,235,235,230,230,225,225,225
225,4,Lincoln,Davenport,1734,1735,1730,1700,1685,1685,1690,1700,1715
226,4,Lincoln,Harrington,424,420,420,420,415,420,415,415,415
227,4,Lincoln,Odessa,910,910,915,905,900,905,900,905,905
228,4,Lincoln,Reardan,571,575,575,575,570,570,575,570,575
229,4,Lincoln,Sprague,446,445,445,445,440,445,440,440,440
230,4,Lincoln,Wilbur,884,885,885,880,875,880,880,890,890
233,2,Mason,Unincorporated Mason County,50865,51245,51580,51825,52005,52130,52250,53070,53880
235,4,Mason,Shelton,9834,9855,9870,9975,9995,10070,10070,10120,10140
238,2,Okanogan,Unincorporated Okanogan County,24780,24805,25085,25110,25120,25320,25090,25400,25720
240,4,Okanogan,Brewster,2370,2365,2355,2370,2380,2395,2395,2400,2405
241,4,Okanogan,Conconully,210,220,215,220,230,230,230,230,235
242,4,Okanogan,Coulee Dam (part),911,910,915,915,915,910,915,915,915
243,4,Okanogan,Elmer City,238,240,235,235,240,285,290,290,290
244,4,Okanogan,Nespelem,236,235,235,235,235,245,245,245,245
245,4,Okanogan,Okanogan,2552,2585,2535,2560,2595,2580,2595,2610,2620
246,4,Okanogan,Omak,4845,4845,4835,4830,4840,4900,4925,4925,4935
247,4,Okanogan,Oroville,1686,1690,1715,1715,1700,1695,1710,1705,1705
248,4,Okanogan,Pateros,667,665,665,665,665,525,560,580,585
249,4,Okanogan,Riverside,280,280,280,280,290,285,285,285,285
250,4,Okanogan,Tonasket,1032,1025,1020,1020,1110,1110,1110,1110,1110
251,4,Okanogan,Twisp,919,925,930,940,945,945,950,970,975
252,4,Okanogan,Winthrop,394,410,405,405,435,435,430,445,465
255,2,Pacific,Unincorporated Pacific County,14073,14070,14115,14125,14225,14320,14285,14360,14500
257,4,Pacific,Ilwaco,936,935,940,940,945,945,945,945,965
258,4,Pacific,Long Beach,1392,1390,1400,1410,1410,1420,1430,1440,1445
259,4,Pacific,Raymond,2882,2870,2890,2895,2890,2905,2900,2885,2885
260,4,Pacific,South Bend,1637,1635,1625,1630,1630,1620,1620,1620,1625
263,2,Pend Oreille,Unincorporated Pend Oreille County,9810,9790,9890,9945,9985,10030,10085,10140,10310
265,4,Pend Oreille,Cusick,207,210,210,205,205,200,200,205,205
266,4,Pend Oreille,Ione,447,445,445,445,445,440,440,445,445
267,4,Pend Oreille,Metaline,173,175,175,175,185,175,180,170,170
268,4,Pend Oreille,Metaline Falls,238,240,240,240,240,235,235,240,240
269,4,Pend Oreille,Newport,2126,2140,2140,2140,2150,2160,2150,2170,2170
272,2,Pierce,Unincorporated Pierce County,366738,372110,375955,378495,381970,386050,392260,400480,409020
274,4,Pierce,Auburn (part),7419,7655,7850,8915,9280,9595,9720,9900,9965
275,4,Pierce,Bonney Lake,17374,17500,17730,18010,18520,19490,20000,20500,20940
276,4,Pierce,Buckley,4354,4345,4365,4370,4430,4440,4550,4670,4765
277,4,Pierce,Carbonado,610,610,610,610,610,615,635,665,665
278,4,Pierce,DuPont,8199,8430,8640,8855,9175,9250,9330,9385,9385
279,4,Pierce,Eatonville,2758,2775,2785,2815,2840,2880,2925,2950,2955
280,4,Pierce,Edgewood,9387,9405,9425,9460,9525,9615,9735,10420,10990
282,4,Pierce,Fife,9173,9220,9235,9290,9405,9545,9910,10100,10100
283,4,Pierce,Fircrest,6497,6500,6525,6540,6555,6575,6625,6640,6710
284,4,Pierce,Gig Harbor,7126,7200,7340,7670,7985,8555,9065,9560,10320
285,4,Pierce,Lakewood,58163,58190,58260,58310,58360,58400,58800,59280,59350
286,4,Pierce,Milton (part),6137,6140,6150,6345,6350,6375,6625,6705,6705
287,4,Pierce,Orting,6746,6770,6790,6930,7065,7290,7535,7835,8105
288,4,Pierce,Pacific (part),92,85,85,85,80,70,55,55,40
289,4,Pierce,Puyallup,37022,37240,37620,37980,38670,38950,39850,40500,41100
290,4,Pierce,Roy,793,795,805,805,805,805,805,815,815
291,4,Pierce,Ruston,749,750,755,795,830,905,935,975,990
292,4,Pierce,South Prairie,434,435,435,435,435,435,435,435,435
293,4,Pierce,Steilacoom,5985,6000,6015,6040,6060,6115,6170,6410,6425
294,4,Pierce,Sumner,9451,9450,9470,9520,9545,9660,9705,9920,10030
295,4,Pierce,Tacoma,198397,198900,199600,200400,200900,202300,206100,208100,209100
296,4,Pierce,University Place,31144,31170,31270,31340,31420,31720,32230,32610,32820
297,4,Pierce,Wilkeson,477,475,485,485,485,485,490,490,490
300,2,San Juan,Unincorporated San Juan County,13607,13720,13785,13815,13910,13965,14070,14255,14465
302,4,San Juan,Friday Harbor,2162,2180,2140,2185,2190,2215,2250,2255,2345
305,2,Skagit,Unincorporated Skagit County,48112,48255,48345,48411,48720,49220,49860,50875,51540
307,4,Skagit,Anacortes,15778,15860,15960,16080,16190,16310,16580,16780,16990
308,4,Skagit,Burlington,8388,8420,8435,8445,8445,8485,8675,8715,9025
309,4,Skagit,Concrete,710,710,715,710,720,730,735,740,740
310,4,Skagit,Hamilton,301,300,300,304,305,305,305,300,300
311,4,Skagit,La Conner,891,885,895,890,895,895,905,925,940
312,4,Skagit,Lyman,438,440,440,440,445,445,450,455,455
313,4,Skagit,Mount Vernon,31743,31940,32250,32710,33170,33530,33730,34360,35180
314,4,Skagit,Sedro-Woolley,10540,10590,10610,10610,10610,10700,11030,10950,11350
317,2,Skamania,Unincorporated Skamania County,8645,8685,8755,8780,8855,8895,8955,9120,9300
319,4,Skamania,North Bonneville,956,965,1000,1005,1005,1005,1005,1010,1015
320,4,Skamania,Stevenson,1465,1500,1520,1515,1510,1530,1540,1560,1575
323,2,Snohomish,Unincorporated Snohomish County,302292,304435,308445,312500,320335,330260,338995,349800,357555
325,4,Snohomish,Arlington,17926,17930,17970,18270,18360,18490,18620,18690,19300
326,4,Snohomish,Bothell (part),16415,16570,16720,17020,17020,17230,17390,17510,17820
327,4,Snohomish,Brier,6087,6100,6155,6315,6345,6500,6555,6560,6605
328,4,Snohomish,Darrington,1347,1345,1345,1350,1350,1350,1350,1400,1400
329,4,Snohomish,Edmonds,39709,39800,39800,39950,39950,40490,40900,41260,41820
330,4,Snohomish,Everett,103019,103100,103300,104200,104900,105800,108300,109800,111200
331,4,Snohomish,Gold Bar,2075,2060,2060,2080,2085,2115,2125,2125,2175
332,4,Snohomish,Granite Falls,3364,3370,3380,3385,3390,3390,3395,3485,3615
333,4,Snohomish,Index,178,180,180,180,180,160,165,175,175
334,4,Snohomish,Lake Stevens,28069,28210,28510,28960,29170,29900,30900,31740,32570
335,4,Snohomish,Lynnwood,35836,35860,35900,35960,36030,36420,36590,36950,38260
336,4,Snohomish,Marysville,60020,60660,61360,62100,62600,64140,64940,65900,67040
337,4,Snohomish,Mill Creek,18244,18370,18450,18600,18780,19760,19900,19960,20470
338,4,Snohomish,Monroe,17304,17330,17390,17510,17660,17620,18120,18350,18860
339,4,Snohomish,Mountlake Terrace,19909,19990,20090,20160,20530,21090,21090,21290,21560
340,4,Snohomish,Mukilteo,20254,20310,20360,20440,20540,20900,21070,21240,21320
341,4,Snohomish,Snohomish,9098,9200,9215,9220,9270,9385,9625,10010,10150
342,4,Snohomish,Stanwood,6231,6220,6300,6340,6530,6585,6635,6785,6835
343,4,Snohomish,Sultan,4651,4655,4660,4660,4665,4680,4860,5030,5050
344,4,Snohomish,Woodway,1307,1305,1310,1300,1310,1335,1335,1340,1340
347,2,Spokane,Unincorporated Spokane County,136097,136713,136487,137813,139904,140717,142062,144788,147650
349,4,Spokane,Airway Heights,6114,6220,7780,7935,7970,8385,8425,8460,9085
350,4,Spokane,Cheney,10590,10790,10820,11070,11310,11440,11650,11880,12200
351,4,Spokane,Deer Park,3652,3675,3715,3800,3870,3950,4005,4105,4240
352,4,Spokane,Fairfield,612,595,600,615,615,615,620,620,620
353,4,Spokane,Latah,193,195,195,195,195,195,195,195,195
354,4,Spokane,Liberty Lake,7591,7705,7900,8190,8675,8975,9325,9910,10390
355,4,Spokane,Medical Lake,5060,4910,4920,4945,4965,4945,4945,4990,4990
356,4,Spokane,Millwood,1786,1785,1785,1790,1785,1790,1790,1790,1790
357,4,Spokane,Rockford,470,470,470,470,470,470,470,480,480
358,4,Spokane,Spangle,278,280,280,280,280,280,275,275,275
359,4,Spokane,Spokane,208916,209100,210000,211300,212300,213100,214500,217300,220100
360,4,Spokane,Spokane Valley,89755,90110,90550,91490,92050,93340,94160,94890,95810
361,4,Spokane,Waverly,107,102,98,107,111,108,108,117,125
364,2,Stevens,Unincorporated Stevens County,33893,33946,34035,34160,34230,34300,34342,34722,35190
366,4,Stevens,Chewelah,2607,2610,2620,2615,2615,2650,2650,2655,2670
367,4,Stevens,Colville,4673,4690,4695,4685,4690,4705,4730,4730,4745
368,4,Stevens,Kettle Falls,1595,1605,1600,1595,1610,1615,1615,1620,1640
369,4,Stevens,Marcus,183,174,175,175,180,175,175,175,175
370,4,Stevens,Northport,295,295,295,290,290,295,295,295,295
371,4,Stevens,Springdale,285,280,280,280,285,290,293,313,315
374,2,Thurston,Unincorporated Thurston County,135123,135830,136610,137395,138160,138930,137800,139870,141800
376,4,Thurston,Bucoda,562,560,560,560,560,565,570,580,575
377,4,Thurston,Lacey,42393,42830,43600,44350,45320,46020,47540,48700,50170
378,4,Thurston,Olympia,46478,46780,47500,48480,49670,51020,51600,52160,52490
379,4,Thurston,Rainier,1794,1825,1825,1840,1850,1880,1885,1930,2020
380,4,Thurston,Tenino,1695,1700,1705,1705,1725,1730,1775,1785,1785
381,4,Thurston,Tumwater,17371,17570,17900,18300,18800,19100,23040,23210,23830
382,4,Thurston,Yelm,6848,7005,7100,7470,7915,8165,8480,8665,9030
385,2,Wahkiakum,Unincorporated Wahkiakum County,3446,3470,3500,3520,3510,3490,3510,3540,3610
387,4,Wahkiakum,Cathlamet,532,530,525,500,500,490,490,490,490
390,2,Walla Walla,Unincorporated Walla Walla County,16750,16815,16975,17150,17295,16590,16590,16560,16650
392,4,Walla Walla,College Place,8765,8780,8845,8875,9050,9110,9245,9440,9590
393,4,Walla Walla,Prescott,318,320,325,325,325,325,325,330,330
394,4,Walla Walla,Waitsburg,1217,1215,1215,1220,1220,1235,1230,1230,1230
395,4,Walla Walla,Walla Walla,31731,31670,31740,31930,32260,33390,33340,33840,34000
398,2,Whatcom,Unincorporated Whatcom County,87065,87535,87921,88276,88822,89788,90538,91724,92915
400,4,Whatcom,Bellingham,80885,81070,81360,82310,82810,83580,84850,86720,88500
401,4,Whatcom,Blaine,4684,4705,4760,4785,4865,4905,4930,5075,5315
402,4,Whatcom,Everson,2483,2495,2520,2550,2570,2580,2600,2630,2730
403,4,Whatcom,Ferndale,11415,11530,11830,12290,12710,12920,13250,13470,13640
404,4,Whatcom,Lynden,11951,12060,12340,12730,12920,13090,13380,13620,14160
405,4,Whatcom,Nooksack,1338,1350,1370,1410,1435,1460,1475,1490,1500
406,4,Whatcom,Sumas,1319,1355,1399,1449,1468,1467,1517,1571,1590
409,2,Whitman,Unincorporated Whitman County,5961,5974,5974,6035,6065,6084,6240,6300,6365
411,4,Whitman,Albion,579,555,545,550,555,555,545,540,550
412,4,Whitman,Colfax,2805,2805,2790,2780,2765,2790,2795,2795,2820
413,4,Whitman,Colton,418,425,415,420,420,420,425,435,440
414,4,Whitman,Endicott,289,293,295,295,300,296,295,295,295
415,4,Whitman,Farmington,146,145,145,145,150,150,155,155,155
416,4,Whitman,Garfield,597,600,595,595,595,595,595,600,600
417,4,Whitman,LaCrosse,313,315,315,315,320,320,315,310,310
418,4,Whitman,Lamont,81,80,80,80,80,80,80,80,80
419,4,Whitman,Malden,203,205,205,205,205,200,200,200,200
420,4,Whitman,Oakesdale,422,425,425,425,425,430,425,425,425
421,4,Whitman,Palouse,998,1005,1020,1020,1030,1030,1040,1050,1060
422,4,Whitman,Pullman,29799,29820,31000,30990,31420,32110,32650,33280,33730
423,4,Whitman,Rosalia,550,555,555,555,555,560,560,560,560
424,4,Whitman,St. John,543,523,501,500,505,510,505,505,505
425,4,Whitman,Tekoa,778,775,785,770,775,785,780,770,770
426,4,Whitman,Uniontown,294,300,305,320,335,335,335,340,345
429,2,Yakima,Unincorporated Yakima County,83755,84300,84800,84910,85410,85985,85895,87115,87715
431,4,Yakima,Grandview,10862,10920,11000,11010,11170,11200,11160,11170,11180
432,4,Yakima,Granger,3246,3270,3285,3315,3495,3640,3880,3905,3945
433,4,Yakima,Harrah,630,630,650,645,645,650,650,660,670
434,4,Yakima,Mabton,2286,2290,2290,2305,2310,2310,2315,2315,2315
435,4,Yakima,Moxee,3308,3415,3505,3655,3720,3810,3955,4010,4020
436,4,Yakima,Naches,795,805,805,805,815,830,845,860,960
437,4,Yakima,Selah,7147,7205,7290,7340,7395,7495,7530,7630,7820
438,4,Yakima,Sunnyside,15858,16010,16130,16200,16230,16280,16540,16640,16850
439,4,Yakima,Tieton,1191,1195,1195,1235,1255,1255,1285,1300,1305
440,4,Yakima,Toppenish,8949,8950,8950,8950,8955,8965,9050,9085,9090
441,4,Yakima,Union Gap,6047,6055,6105,6110,6140,6150,6200,6220,6235
442,4,Yakima,Wapato,4997,5025,5030,5035,5040,5040,5040,5040,5040
443,4,Yakima,Yakima,91196,91630,91930,92620,93080,93220,93410,93900,94190
444,4,Yakima,Zillah,2964,3000,3035,3115,3140,3140,3145,3150,3165
